YEAR,SPECIES,METRIC.TONS,POUNDS,POUNDS.millions.,VALUE,VALUE.millions.,PRICEperLB,NUM_LICENSE_HOLDERS,NUM_TRAPS_MILLIONS,WATER_TEMP_BOOTHBAY_HARBOR_C
1905,"LOBSTER, AMERICAN",5051.930380112,11137600,11.1376,"$1,400,000",1.4,$0.13,"2,562",0.254,7.8
1906,"LOBSTER, AMERICAN",6802.933006023,14997900,14.9979,"$1,600,000",1.6,$0.11,"2,672",0.305,7.0
1907,"LOBSTER, AMERICAN",7890.919664705,17396500,17.3965,"$1,900,000",1.9,$0.11,NA,NA,6.8
1908,"LOBSTER, AMERICAN",7999.917911216001,17636800,17.6368,"$1,600,000",1.6,$0.09,NA,NA,8.6
1909,"LOBSTER, AMERICAN",7689.932885558,16953400,16.9534,"$1,800,000",1.8,$0.11,NA,NA,8.6
1910,"LOBSTER, AMERICAN",9042.908206794,19936200,19.9362,"$2,100,000",2.1,$0.11,NA,NA,9.0
1911,"LOBSTER, AMERICAN",7342.934722508001,16188400.000000002,16.1884,"$2,100,000",2.1,$0.13,NA,NA,8.3
1912,"LOBSTER, AMERICAN",7392.920601682001,16298600,16.2986,"$2,000,000",2.0,$0.12,NA,NA,7.7
1913,"LOBSTER, AMERICAN",5522.940697120001,12176000,12.176,"$1,600,000",1.6,$0.13,NA,NA,8.6
1914,"LOBSTER, AMERICAN",5873.930473026,12949800,12.9498,"$1,700,000",1.7,$0.13,NA,NA,7.0
1915,"LOBSTER, AMERICAN",5232.959094979,11536700,11.5367,"$2,300,000",2.3,$0.20,NA,NA,7.1
1916,"LOBSTER, AMERICAN",4605.958361928,10154400,10.1544,"$2,200,000",2.2,$0.22,"3,291",NA,6.7
1917,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,6.3
1918,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,7.7
1919,"LOBSTER, AMERICAN",2627.978114069,5793700,5.7937,"$1,400,000",1.4,$0.24,"3,067",NA,8.5
1920,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,8.2
1921,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,8.7
1922,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,8.0
1923,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,7.4
1924,"LOBSTER, AMERICAN",2500.9722504690003,5513700,5.5137,"$1,800,000",1.8,$0.33,NA,0.154,7.7
1925,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,7.5
1926,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,7.1
1927,"LOBSTER, AMERICAN",NA,NA,NA,NA,NA,NA,NA,NA,7.9
1928,"LOBSTER, AMERICAN",3220.95941937,7101000,7.101,"$2,000,000",2.0,$0.28,NA,0.211,8.3
1929,"LOBSTER, AMERICAN",3002.962926348,6620400,6.6204,"$2,000,000",2.0,$0.30,NA,NA,7.2
1930,"LOBSTER, AMERICAN",3515.9758968180004,7751400,7.7514,"$2,000,000",2.0,$0.26,NA,0.205,8.1
1931,"LOBSTER, AMERICAN",2433.97665742,5366000,5.366,"$1,300,000",1.3,$0.24,NA,0.168,9.1
1932,"LOBSTER, AMERICAN",2746.95539272,6056000,6.056,"$1,100,000",1.1,$0.18,"2,927",0.208,8.2
1933,"LOBSTER, AMERICAN",2674.970283601,5897300,5.8973,"$1,000,000",1.0,$0.17,"2,956",0.18,8.6
1934,"LOBSTER, AMERICAN",2438.96617349,5377000,5.377,"$900,000",0.9,$0.17,"2,925",0.183,7.6
1935,"LOBSTER, AMERICAN",3486.945985138,7687400,7.6874,"$1,800,000",1.8,$0.23,"3,102",0.185,8.1
